t,label,ee_x_mm,ee_y_mm,ee_z_mm,displacement_mm,stability_elapsed_sec,marker_0_x,marker_0_y,marker_0_z,marker_0_stable,marker_1_x,marker_1_y,marker_1_z,marker_1_stable,marker_2_x,marker_2_y,marker_2_z,marker_2_stable,marker_3_x,marker_3_y,marker_3_z,marker_3_stable,marker_4_x,marker_4_y,marker_4_z,marker_4_stable
0.0,start,471.767,501.773,560.419,0.0,1.533,-0.2660036607504496,0.03221048168685901,0.5074639970204149,1,-0.202153548147465,0.033761853180468954,0.5127086151643375,1,-0.1321027239345169,0.03532867195411871,0.5035769946282378,1,-0.07638873820133614,0.042528077790341026,0.5009838427031086,1,-0.015913251770705107,0.06866796795084208,0.4840337442950379,1
1.899332,grid_0001_y500_z540,471.132,500.895,541.8,18.650503210369447,1.314,-0.2767879635211203,0.05427215481989554,0.5268196937834068,1,-0.20642177165256723,0.04899460753292685,0.5196646665039478,1,-0.1322156733439504,0.04314647939146531,0.4953944407156576,1,-0.07494699410885872,0.044379810707046774,0.4793578826615687,1,-0.017472095886563656,0.07344897522987796,0.5102425948108695,1
2.869852,grid_0002_y502_z540,471.408,501.054,541.002,19.433623722816115,0.96,-0.27087841905413346,0.05353516740162414,0.5148942220535233,1,-0.20012957455073105,0.04792281386564026,0.5032939997236471,1,-0.13232632671017855,0.043145182375578774,0.4961692805672981,1,-0.07626537865912353,0.045258354489935045,0.48755711318143546,1,-0.017282567168966027,0.07267273740364244,0.5061402402343645,1
3.564822,grid_0003_y504_z540,470.921,502.391,540.175,20.271092126474123,0.684,-0.26750974054648724,0.05348834852441925,0.5105302846377129,1,-0.19695100643610633,0.046531035920906114,0.49748367702289703,1,-0.13309079727903317,0.04187122493658209,0.5020841164085315,1,-0.07500908592998831,0.043684974293287306,0.48297950859819033,1,-0.016482431057710148,0.07090966740735924,0.49612796419808297,1
5.48421,grid_0004_y506_z540,470.999,504.267,540.227,20.359929371193804,1.908,-0.26378876121729855,0.052599332907886855,0.5070069474868547,1,-0.1998998916254205,0.045121123437610225,0.5105787309145118,1,-0.1335478269467662,0.03924689636852506,0.5114945838077862,1,-0.07372128461293712,0.04106354207504394,0.4873703758725599,1,-0.015866983531253865,0.0709089433467203,0.49944661187269385,1
6.397711,grid_0005_y508_z540,470.826,506.265,540.266,20.668985316168776,0.902,-0.2627745361650187,0.05219556832277909,0.5092540437650307,1,-0.19441899409777225,0.04207567713909521,0.5010006391747251,1,-0.12956742258535947,0.03526143717175618,0.5037317024766308,1,-0.07354454522352409,0.03972334664995473,0.49833813745074174,1,-0.014872961312018148,0.06932359023728292,0.4943242901255897,1
11.770565,grid_0006_y510_z540,470.937,508.225,540.274,21.169275589873152,5.361,-0.2659365067060384,0.05286763123331019,0.5205129114941176,1,-0.20006824331664325,0.04162790796827537,0.5210513562002896,1,-0.12724695546240578,0.03227023374071042,0.49998260845444975,1,-0.07252345653995561,0.037374478339625775,0.5010681736845977,1,-0.013840012438642251,0.06655761301036213,0.47481104736940793,1
13.14609,grid_0007_y512_z540,470.689,510.482,540.24,22.004563299461296,1.364,-0.2541675388576242,0.050687128650325944,0.5012294329051702,1,-0.18923585954923144,0.03795016480669875,0.4974768542933613,1,-0.1256426175399067,0.029853447104578844,0.5034128366068353,1,-0.06835920600584455,0.03397536565088832,0.48405380203158216,1,-0.01318434946918175,0.06974211286158184,0.4979419899739713,1
17.108087,grid_0008_y514_z540,470.971,512.141,540.2,22.73624861317267,3.952,-0.2530266436689183,0.05065203543389457,0.5016203198309923,1,-0.19253198021438755,0.0370919104582383,0.5100076197870788,1,-0.12356198138043555,0.02711646821503903,0.5006866297346411,1,-0.06635422571582737,0.03250234340888896,0.48170533164145335,1,-0.012591937905389903,0.06857230050132954,0.49867673577442917,1
17.971186,grid_0009_y516_z540,470.849,514.321,539.974,24.006104494482177,0.853,-0.25088531824456384,0.05007270017468483,0.5011701456604787,1,-0.18600012030565288,0.03485663969772065,0.49703895337066994,1,-0.1243691455583619,0.025401302711436036,0.5097981748908691,1,-0.0662852488202716,0.03117266602709625,0.4915987641066635,1,-0.01225117998949915,0.06801447841269856,0.492455483737925,1
18.611239,grid_0010_y518_z540,471.263,516.018,539.765,25.09505443309498,0.628,-0.2497826320044199,0.050025836677539716,0.50165039198858,1,-0.18479317102429255,0.03368656405545386,0.4968532742762612,1,-0.12176710475576831,0.023844525899291917,0.5038720985818079,1,-0.06492411647616382,0.029991868136828075,0.49094988164876,1,-0.011716889750997514,0.06779980031389402,0.49424861469018655,1
19.531336,grid_0011_y520_z540,471.068,518.087,539.612,26.44931844112433,0.908,-0.2483898225035078,0.050165453936575545,0.5038012152379064,1,-0.18876650501100453,0.032778192664581554,0.5138057944946297,1,-0.1219305962749447,0.021138066550540204,0.5130264646653677,1,-0.06400779456148334,0.028445516733783222,0.4977240887232785,1,-0.011068285961028223,0.06751689271562548,0.4910988036883107,1
