t,label,ee_x_mm,ee_y_mm,ee_z_mm,displacement_mm,stability_elapsed_sec,marker_0_x,marker_0_y,marker_0_z,marker_0_stable,marker_1_x,marker_1_y,marker_1_z,marker_1_stable,marker_2_x,marker_2_y,marker_2_z,marker_2_stable,marker_3_x,marker_3_y,marker_3_z,marker_3_stable,marker_4_x,marker_4_y,marker_4_z,marker_4_stable
0.0,start,470.641,502.681,560.177,0.0,0.734,-0.16967393913615053,0.03016919869942461,0.4379026717746665,1,-0.07347380693804578,0.00789704811052104,0.40899764020660945,1,0.021731300148858525,-0.020437181129788342,0.3875556621347149,1,0.09795089111244334,-0.010740193325036007,0.36384659029014144,1,0.1357151397251602,0.08455300555570763,0.34723047694763853,1
1.746854,grid_0001_y500_z530,472.319,500.898,532.075,28.208459316311455,0.74,-0.17652563247198313,0.06406495739758263,0.44426652228725283,1,-0.07951029408405783,0.029783863723789272,0.40839765608216705,1,0.014276093950837444,-0.0006454905746707009,0.38859700202738773,1,0.0923079359660425,-0.009454094330636357,0.3526151825761158,1,0.1336381311691507,0.08343204411892308,0.34249124382276985,1
2.395311,grid_0002_y502_z530,472.434,501.092,531.499,28.777898707167623,0.638,-0.17255978255648782,0.06340208323050804,0.43477981499662555,1,-0.07978533143358717,0.030236405551838392,0.4101694248193544,1,0.014164795432694338,-0.00040253614746996863,0.38821093083441116,1,0.09252423983291583,-0.009622373802543162,0.3530752802202266,1,0.13344414526794574,0.08329121425007155,0.34217359914550227,1
3.028069,grid_0003_y504_z530,472.225,502.176,530.201,30.0220694989536,0.622,-0.17443777040848268,0.06570701271202437,0.4412784987005615,1,-0.0790902362645299,0.03097186619436515,0.41004774271890865,1,0.01454958424471606,-3.181538529661481e-05,0.3821087575859277,1,0.09289120660476291,-0.009623287780230975,0.35388957331344667,1,0.13423997434537321,0.08368941911650926,0.34376661572109035,1
3.762196,grid_0004_y506_z530,472.146,504.394,530.053,30.210176596637126,0.723,-0.1705603921257027,0.06596215822331318,0.4361602636589111,1,-0.0771019080292199,0.03057114360898398,0.4086518248587748,1,0.015706297818429422,-0.0012742576592172845,0.37790718261008027,1,0.09435197015387076,-0.009974443962280772,0.35610436361086917,1,0.1358245145540294,0.08454140383855677,0.34768708550525507,1
4.450829,grid_0005_y508_z530,472.082,506.534,529.869,30.58589469019992,0.676,-0.17043615218300123,0.06725444745702873,0.44103260996993754,1,-0.07754737743700368,0.03085339659802012,0.42051332161247884,1,0.01741546724191472,-0.002876086751633395,0.37712073956147263,1,0.09410600069763289,-0.010336996792367386,0.35233027985479914,1,0.13609215381565534,0.08452394680271189,0.34811912181156923,1
5.140364,grid_0006_y510_z530,472.401,508.183,529.655,31.063838912793813,0.677,-0.16553886608621712,0.06647444336496726,0.43279242684514985,1,-0.07433032003855414,0.029723537780795745,0.41165384670186533,1,0.018965661210171465,-0.004122418616492457,0.38036564077393115,1,0.09562072776190149,-0.010407128368899274,0.35584229131949424,1,0.13554870131299962,0.08397786691897766,0.34624015980146133,1
5.897606,grid_0007_y512_z530,472.281,510.413,529.364,31.81060189622321,0.745,-0.164475273896982,0.06776164627300411,0.4361294725573778,1,-0.07297436329385412,0.029461296638504407,0.41538312179573145,1,0.020458884524586714,-0.005409171338755491,0.3754233053852792,1,0.09683293215803232,-0.010751193062124223,0.35716647067788926,1,0.1364046087457365,0.08418280533733997,0.3472377267724944,1
6.528081,grid_0008_y514_z530,472.75,511.909,529.429,32.17208990724729,0.619,-0.16237078709719638,0.06771539650100192,0.43400019564593784,1,-0.0709240578234296,0.028303988392037377,0.4106084971977723,1,0.021816990693413318,-0.006695513942311449,0.3796526094725686,1,0.09654095688106527,-0.010877242639354271,0.3548816827049386,1,0.13656848576577424,0.08418910863883614,0.3472704455616971,1
7.161083,grid_0009_y516_z530,472.518,514.081,529.557,32.72716805652455,0.621,-0.1572463335401689,0.06655365254994113,0.4252922070375401,1,-0.06977445835103233,0.027603321333212298,0.41346598693477754,1,0.022852204545385772,-0.008542639163197786,0.37482671081676855,1,0.0968258016621094,-0.011072248268280726,0.3554574048748447,1,0.13620092856488558,0.08393858783420079,0.3463299720379554,1
7.960641,grid_0010_y518_z530,472.791,515.731,529.682,33.23958521101009,0.788,-0.15596817034199684,0.06670821566798353,0.42613372783147463,1,-0.06709358986246036,0.026071452095662813,0.40727524668268655,1,0.024089614009056376,-0.010673804754748722,0.37503698875476854,1,0.09802963885443813,-0.01128286403236115,0.3593198058419761,1,0.13650878011971154,0.08412596704012644,0.347117652174211,1
8.591483,grid_0011_y520_z530,472.54,518.024,529.605,34.25873660834562,0.62,-0.15571255291937774,0.06764065443574904,0.43085722522187925,1,-0.0654060971411219,0.025263030601704723,0.40707882200138046,1,0.025507327358167027,-0.012397368013127876,0.3757236460797899,1,0.09847739406319833,-0.011317841052761467,0.35897977723714847,1,0.13650878011971154,0.08412596704012644,0.347117652174211,1
9.219071,grid_0012_y522_z530,472.862,519.57,529.699,34.91532107828892,0.618,-0.15504410577987476,0.06853011607125155,0.4341962504927327,1,-0.06352146627231683,0.024385803941406905,0.40509676418973317,1,0.026889181563022984,-0.013795331204469815,0.37528753190373637,1,0.09904490187766898,-0.011682250607690686,0.35904344229260887,1,0.13620092856488558,0.08393858783420079,0.3463299720379554,1
9.850344,grid_0013_y524_z530,472.766,521.621,529.826,35.83883962965319,0.621,-0.15116258275867403,0.06783168575839595,0.4286617094525386,1,-0.06205168302218922,0.023810578531886756,0.4068488754564526,1,0.028746473746053203,-0.015553223535943309,0.38137846968096006,1,0.09967506351430891,-0.011805532504966165,0.3595527537268223,1,0.13655023401845098,0.08417853715922721,0.34710489073712575,1
10.583011,grid_0014_y526_z530,472.615,523.792,530.055,36.8362034010022,0.723,-0.14996332954649255,0.06835643779177357,0.4322456245360253,1,-0.05948278314087104,0.022408139812769796,0.40206796246475357,1,0.02992841027125418,-0.01715860917026233,0.373260276623468,1,0.09997959215924876,-0.011907828197900016,0.35782275802043906,1,0.13580716357923772,0.08346254933525918,0.3442525182656938,1
11.21238,grid_0015_y528_z530,472.843,525.684,529.714,38.23586251152179,0.62,-0.1475949159389907,0.06874502969480893,0.43065276880222114,1,-0.05878846219390217,0.022576408624662602,0.40864285662975536,1,0.03136560349059033,-0.01851380116549855,0.3755301167013455,1,0.10029945779191676,-0.012136738589284228,0.3565073796328956,1,0.13625315132307528,0.08364514741954927,0.34513067893329635,1
11.844032,grid_0016_y530_z530,472.81,527.742,529.739,39.487088092185246,0.621,-0.14534644538098268,0.06904385218509813,0.429438399490361,1,-0.056774324322813166,0.021905781199132498,0.40598504064865343,1,0.03244794559646017,-0.019666253539825276,0.37060186997653427,1,0.10164599190627648,-0.012506442864560574,0.3588217204704761,1,0.1356405806440323,0.08272007097463943,0.3425219239896388,1
