t,label,ee_x_mm,ee_y_mm,ee_z_mm,displacement_mm,stability_elapsed_sec,marker_0_x,marker_0_y,marker_0_z,marker_0_stable,marker_1_x,marker_1_y,marker_1_z,marker_1_stable,marker_2_x,marker_2_y,marker_2_z,marker_2_stable,marker_3_x,marker_3_y,marker_3_z,marker_3_stable,marker_4_x,marker_4_y,marker_4_z,marker_4_stable
7.67317,grid_0010_y518_z530,473.551,516.093,529.657,33.842219150049814,0.626,-0.13661572589126483,0.013745093093597458,0.3715558434562555,1,-0.06779973970219833,-0.005541759523531003,0.37035275905797727,1,-0.0008664854300716307,-0.020439884831722342,0.36640108820976014,1,0.06070116015359829,-0.011355386724388319,0.36689745342100133,1,0.10269538764771531,0.03980580601855559,0.3641651205651213,1
8.416139,grid_0011_y520_z530,473.348,518.172,529.623,34.79129133849446,0.732,-0.13495486436733378,0.013772223509285624,0.3736403921730495,1,-0.06623394472702746,-0.007018868134092256,0.3723487466551518,1,0.0009652749172218321,-0.022236326993076795,0.36195537443138054,1,0.06241054220107152,-0.012490247776720736,0.36746326904184945,1,0.10322799416828314,0.03987174414851535,0.3656113449337543,1
9.064583,grid_0012_y522_z530,473.568,519.966,529.793,35.5348779792474,0.637,-0.13322058399940526,0.01342532372909663,0.3744901586033203,1,-0.06468809251616056,-0.008461349953823838,0.37370591134139197,1,0.0025301143881578977,-0.023928201350988335,0.36128546409240964,1,0.06352241638787512,-0.013353763774001406,0.3666261572895892,1,0.10401806591458036,0.039822574678019626,0.3671888174471089,1
9.694934,grid_0013_y524_z530,473.487,521.989,529.898,36.5188595933663,0.619,-0.12974221814892598,0.01299028694627342,0.3710092140510298,1,-0.0627882907018578,-0.009779903982764324,0.3736525660352052,1,0.00418243245485765,-0.025819153892322727,0.3617075614133155,1,0.0648276104291239,-0.014351544405389771,0.3645388637587881,1,0.10292766861389224,0.03917606410652183,0.3625675562684919,1
10.434699,grid_0014_y526_z530,473.667,523.902,529.771,37.721327707279954,0.731,-0.12891505884386012,0.01290149476524265,0.3738297519409129,1,-0.06022627576054722,-0.01065441572720848,0.3681717031649053,1,0.0055570733105718105,-0.02734293537053521,0.3643347832392774,1,0.0664751701211063,-0.015379841274690415,0.36728382737000814,1,0.10336409366594994,0.038997942589993825,0.362577809190363,1
11.071796,grid_0015_y528_z530,473.439,526.041,529.786,38.9907861167226,0.627,-0.1267317573450366,0.012741039334142164,0.3746829293357436,1,-0.057457347964001836,-0.011653569700291147,0.3639960213189056,1,0.007432558763563997,-0.029490115376087273,0.36731490534576616,1,0.06799086509773426,-0.016364683874614268,0.3670502737106578,1,0.10489102773130618,0.039435295066168066,0.3668994409021025,1
11.709419,grid_0016_y530_z530,473.974,527.652,529.422,40.31592283453279,0.626,-0.12527555401684534,0.012957506451077863,0.3758474985167436,1,-0.05625093321227553,-0.012770482759905388,0.36680627615131933,1,0.008877802970681678,-0.030598548807295668,0.3651202168501285,1,0.06960906554118683,-0.017199383944555408,0.3690446903043268,1,0.10478047457804926,0.0393652684541793,0.36585373270785604,1
12.338652,grid_0017_y532_z530,473.755,529.906,529.57,41.67669647416883,0.618,-0.1222716768708573,0.012806863549273614,0.373607583627894,1,-0.05468697234640335,-0.013915788234828877,0.3683370970601822,1,0.010533636146046918,-0.032508605122527054,0.3680524884621284,1,0.07138507600931533,-0.01788663885989919,0.37128061987898653,1,0.10429944992532683,0.039233516720423876,0.3631133695162152,1
13.080436,grid_0018_y534_z530,473.874,532.01,529.412,43.24168921307307,0.731,-0.11908070398528037,0.012717185680266063,0.3707929280134868,1,-0.052985869887227276,-0.015316018621428739,0.3703257087336173,1,0.012396879402222085,-0.03406856698633533,0.3662077482420803,1,0.07295245027172753,-0.018906126442549978,0.3710332079765898,1,0.10675254838469825,0.03999416041467598,0.3715747746026401,1
13.725729,grid_0019_y536_z530,473.974,533.879,529.162,44.74567548936994,0.635,-0.11761102706829787,0.01267940804717468,0.37292329670747393,1,-0.051386840972893796,-0.016088612828480384,0.3707575424763079,1,0.013889031217828852,-0.03516082446843596,0.3653254399675898,1,0.07343401318021694,-0.019136018276227202,0.36688324754047724,1,0.1056551259155533,0.0395092382777484,0.3670905595400974,1
