t,label,ee_x_mm,ee_y_mm,ee_z_mm,displacement_mm,stability_elapsed_sec,marker_0_x,marker_0_y,marker_0_z,marker_0_stable,marker_1_x,marker_1_y,marker_1_z,marker_1_stable,marker_2_x,marker_2_y,marker_2_z,marker_2_stable,marker_3_x,marker_3_y,marker_3_z,marker_3_stable,marker_4_x,marker_4_y,marker_4_z,marker_4_stable
0.0,start,472.805,498.918,561.31,0.0,0.674,-0.07253510929615914,-0.0974475303932631,0.5042342069416749,1,0.006225524491733812,-0.03867959354137404,0.519446359294527,1,0.07914517392726945,0.00030657157303360435,0.49693551192050184,1,0.15746908656091593,0.008374165442896849,0.5023822622932741,1,0.2414942818157878,-0.015082408695905361,0.502038216105305,1
13.296537,grid_0001_y400_z450,479.336,403.021,451.718,145.77137933764632,2.164,-0.18272578581448096,0.025446011801067998,0.5056946336362976,1,-0.08028464713325263,0.06130210878148503,0.5066234345695645,1,0.02029060776671321,0.06763683388225877,0.49997955632476404,1,0.12159410262902892,0.04169112512413938,0.4916261027025272,1,0.2314009259185764,-0.01234497582026371,0.49344836027224065,1
14.653259,grid_0002_y415_z450,480.521,412.964,450.294,140.61358052478428,0.674,-0.1748151024552439,0.027173688011017483,0.5099565725966212,1,-0.07031330338868287,0.06137847113835131,0.49472751969160544,1,0.025816187918605137,0.06747642500702399,0.49245559146912443,1,0.12593667644745168,0.04189421248811143,0.4959157912399727,1,0.2324564153129729,-0.012267709209269872,0.4942259555031899,1
17.724537,grid_0003_y430_z450,480.291,428.161,449.695,132.36503114493644,2.271,-0.15688863981772397,0.028409604799969762,0.5073128154467496,1,-0.05922623808662943,0.06334090073887358,0.5043111369870955,1,0.034021705665544036,0.0683858375366652,0.494743646677724,1,0.129510956198413,0.04188464652018526,0.49335795975588836,1,0.23217250912888063,-0.012414423292728021,0.49205687401479353,1
21.32436,grid_0004_y445_z450,480.754,442.668,450.112,124.86890848005352,2.627,-0.1414022699006923,0.028420918451651678,0.5066139135004273,1,-0.04607415061472054,0.061604863758039356,0.49405447119454254,1,0.042410920906087536,0.06701366352081269,0.4905081337004931,1,0.13398152658910736,0.04138159414083281,0.49081549388339535,1,0.232826242656576,-0.012432331586461447,0.4914554060441363,1
26.27689,grid_0005_y460_z450,480.658,457.576,449.659,119.31796333327178,4.071,-0.12519751561713957,0.029407341708578092,0.5073890681014191,1,-0.03303371361142136,0.06141681731458218,0.4923592076127126,1,0.05206855761973053,0.06751335810989544,0.4976100911221783,1,0.13910516335816034,0.04059390926734385,0.49193468670874857,1,0.23290653666964586,-0.012625162922115539,0.4896208457363249,1
27.850402,grid_0006_y475_z450,480.646,472.675,449.77,114.85359345706163,0.612,-0.10800174745327588,0.029207356892545958,0.5025517759349568,1,-0.020958848770039267,0.06177077591481448,0.49607115089231546,1,0.06011380618176124,0.0665325498932602,0.49358534708075297,1,0.14430317520887015,0.04022580180032661,0.4930242439266807,1,0.23534460763293377,-0.012699724158320923,0.4927110281094312,1
31.083836,grid_0007_y490_z450,480.387,488.002,449.602,112.49588012011814,2.241,-0.0889412131366632,0.029581049815909838,0.4923398210276262,1,-0.007976192177792203,0.06182602356561195,0.4967957600745085,1,0.068728990298326,0.06584212588340273,0.49117887712479863,1,0.14848935514950626,0.03942350672100404,0.4911044111715778,1,0.23802322853801094,-0.012929618356601684,0.4966195375521317,1
36.165115,grid_0008_y505_z450,480.747,502.624,449.822,111.83194509620222,4.01,-0.07360532254546465,0.02964183449523441,0.4951962815613726,1,0.004860519920483068,0.060513019781770705,0.4906515919272502,1,0.07721290500212931,0.0645386483592319,0.48891287365632724,1,0.15318208607398662,0.03884458877948166,0.491556651641142,1,0.24108461202923137,-0.013057472668492344,0.5015005482248953,1
37.940013,grid_0009_y520_z450,480.917,517.684,449.277,113.88309966364626,0.664,-0.05775534042248931,0.030505251486159863,0.49354489277738844,1,0.01729394378109993,0.06119898876693198,0.493276600142415,1,0.0843975688635187,0.06360233614067665,0.48408625568903924,1,0.15773912461138104,0.0383825075977616,0.4917036487627051,1,0.2402834465173623,-0.013090947998384015,0.49779364256768166,1
40.326275,grid_0010_y535_z450,480.955,532.441,449.833,116.69333981851742,1.223,-0.04088368515340423,0.0299767978328434,0.4911696684958886,1,0.03066116239890848,0.060213787961531595,0.49444015390440393,1,0.09347383962951439,0.06220075973557721,0.4843229970321919,1,0.16211972469087735,0.037164506474328694,0.4890437730375465,1,0.23739692615054775,-0.013239315677810231,0.4899453676277761,1
45.88326,grid_0011_y550_z450,480.825,547.746,448.972,122.75308642962909,4.365,-0.02367654398582639,0.030832667519727283,0.47898369248568606,1,0.044092893738432164,0.05989725131913457,0.4896276448547101,1,0.10484079205676101,0.06300697706645737,0.4942467674192749,1,0.16437048748053262,0.03584412117289132,0.48051755384681777,1,0.23885464330882988,-0.013393486394415842,0.4906923843968905,1
49.277485,grid_0012_y550_z465,480.741,549.117,461.811,111.72721556541177,2.372,-0.022186785638174587,0.01680210606908168,0.49376656238397926,1,0.04617752212251133,0.04906891958582696,0.49559470429036434,1,0.10636124018576844,0.05568637049062023,0.49609189859901087,1,0.16733961626157057,0.032476519774395925,0.4865770086558612,1,0.23885464330882988,-0.013393486394415842,0.4906923843968905,1
51.70378,grid_0013_y535_z465,480.112,537.742,464.127,104.90581830384806,1.505,-0.034337537103415756,0.014037487754742927,0.49450928371466424,1,0.03630595948045031,0.04736789571248384,0.4985156710946936,1,0.09799071741830088,0.0540125725529331,0.4884703613257126,1,0.16433855442210848,0.0324206787280126,0.4881812080117323,1,0.24305217073339502,-0.013750815144819467,0.5004539725927829,1
55.914829,grid_0014_y520_z465,479.766,522.83,463.828,100.61301898362854,3.019,-0.05077319115466585,0.014279891842920014,0.4932944000973039,1,0.022764168726205288,0.04784251645233248,0.49413059569330176,1,0.0888721547606387,0.054764730269066586,0.4873146729233566,1,0.15946138271965704,0.03380444870246426,0.4903170309602251,1,0.23650565573797863,-0.013164778326158916,0.489472877864973,1
57.776322,grid_0015_y505_z465,479.702,507.93,464.329,97.64271152523361,0.74,-0.06863031979535437,0.013603234606680005,0.5057148305713208,1,0.009749765017853967,0.04842119661177962,0.500416035095092,1,0.08072248186273223,0.055930427140147815,0.49142143976230196,1,0.1567054813301272,0.03459331980107856,0.49587600531364645,1,0.23649736225666296,-0.013192864162345221,0.49116181426395605,1
61.075438,grid_0016_y490_z465,480.174,492.872,464.226,97.55080385624707,2.288,-0.08552852149918817,0.01360042756366969,0.5054833029363508,1,-0.0033996732671133997,0.04849192200490071,0.49498021799472913,1,0.07154951520925489,0.05633545083444117,0.4874113237988161,1,0.14868199684416938,0.034658256905153256,0.4861595948859199,1,0.2403810077712469,-0.013105615941867392,0.5012105037054785,1
62.894525,grid_0017_y475_z465,480.208,477.484,464.455,99.47417649822488,0.787,-0.10204532466613059,0.012447224584183132,0.5042259193772031,1,-0.016678361013910594,0.049209890434360005,0.5008452800904529,1,0.06381469160124713,0.058001173349097955,0.4978668630561311,1,0.14429085212004775,0.03531105983894318,0.48712668227383515,1,0.2398940505257727,-0.013047462057174596,0.5016731681212888,1
67.597878,grid_0018_y460_z465,480.421,462.602,464.018,104.12775122895911,3.761,-0.1197593169183863,0.012690429074433525,0.5077519129571441,1,-0.02899908779974772,0.04929645309057671,0.49635601988452627,1,0.05475363843478192,0.05867055583627497,0.49617738176651355,1,0.13898628341486927,0.03602646221170353,0.4858473093260362,1,0.2392876495018761,-0.013090880611237865,0.5027704095470117,1
69.480618,grid_0019_y445_z465,480.337,447.595,464.465,109.86234740801778,0.902,-0.1352647685335101,0.012220284189228409,0.5048456968875182,1,-0.04197212606073935,0.04967364564640927,0.49733364263845,1,0.0461735629426265,0.060007976014505325,0.4987042245702167,1,0.13615550262137785,0.03729137727461121,0.49270255615171327,1,0.23934520932108994,-0.013161665200258391,0.5042342964924309,1
97.360203,grid_0020_y430_z465,480.219,432.768,464.28,117.66737354084182,26.99,-0.15360675932070902,0.01216424195499718,0.5146315213699447,1,-0.05481775523683175,0.05058931763403917,0.5053378385838408,1,0.037749275648802594,0.059881766670213575,0.4985534846960271,1,0.1303630174178522,0.03717317261236026,0.4888338759820998,1,0.23991766709940213,-0.013236423235675832,0.507911948599868,1
102.010014,grid_0021_y415_z465,480.53,417.674,464.401,126.69497796676865,3.807,-0.16776037768962862,0.011062976637387388,0.5054096840914853,1,-0.06835348904427167,0.05104260998274113,0.5087430546016742,1,0.028576362368242066,0.06046777955174978,0.49910323339049883,1,0.1265223079196,0.03824167928925453,0.49232941567984617,1,0.23159853805721442,-0.012561044921216747,0.4920379221379267,1
112.398081,grid_0022_y400_z465,480.748,402.444,464.824,136.67432868318755,9.526,-0.1901468579758229,0.010776015105346336,0.5228245674413636,1,-0.07897981745105327,0.04929078126257585,0.4972724948239078,1,0.020261713265572193,0.05910022921009391,0.48995462549146906,1,0.12087904951901003,0.03757933061302389,0.4862855438531828,1,0.22714880848500021,-0.01225246119811557,0.48350451727366445,1
114.737263,grid_0023_y400_z480,479.142,401.752,478.338,127.9286594512738,0.897,-0.1839938886084164,-0.004618521663856686,0.5057028743314859,1,-0.07985748895254711,0.037578667173247905,0.49911897409496264,1,0.01995691550542146,0.052251805640933235,0.49961316654116383,1,0.12220265114281677,0.034614951578836144,0.493306781858867,1,0.23869737871167487,-0.013246295827929314,0.5083648419802954,1
116.174581,grid_0024_y415_z480,480.35,412.837,480.242,118.48580594315924,0.676,-0.17264661634581113,-0.006747615083049015,0.5068935033036907,1,-0.07019362581990203,0.03569167390106314,0.49950851022937676,1,0.026547935888487594,0.051166731867674405,0.4999473429390116,1,0.12607732286758364,0.033852990980872515,0.49423660102381306,1,0.23656920163237938,-0.013089888134329151,0.5031953797898162,1
118.375643,grid_0025_y430_z480,480.301,428.134,480.336,107.81165682800719,1.411,-0.1573921739926152,-0.006367712150730765,0.5097842283314467,1,-0.05763173639684351,0.035686161546567265,0.5012836178101896,1,0.035986969371779705,0.050894775350205125,0.5009253073255295,1,0.13062999311280474,0.03297827721262342,0.49074381392811106,1,0.23765423483637202,-0.01311432542675967,0.503132423496874,1
120.66055,grid_0026_y445_z480,480.725,442.748,479.952,99.18124552555282,1.453,-0.14013186678873601,-0.005888343095147392,0.5059368791985127,1,-0.044928660732941994,0.035314381687725695,0.4952302432238418,1,0.04470621263254463,0.049798693693239186,0.4987767144731981,1,0.13489770469474027,0.032189210426770955,0.4893765930709868,1,0.2375212192773016,-0.013108866035497333,0.5008817012581236,1
136.352839,grid_0027_y460_z480,480.719,457.674,479.759,91.7293002971242,14.802,-0.12057618486474996,-0.004766773867118013,0.49263170840138043,1,-0.03219766652783471,0.03604997164906982,0.49478180632644236,1,0.05323831358188357,0.05002820303598051,0.49649654567425694,1,0.1389042858585828,0.032086649099809794,0.48793493764789325,1,0.23996655343834042,-0.0131245475960406,0.5043023320963275,1
141.463941,grid_0028_y475_z480,480.79,472.739,479.963,85.82793644845476,4.179,-0.10802722105699818,-0.0051006753604100185,0.5071811696817213,1,-0.020460917367234353,0.034772790179313756,0.49266552664653124,1,0.0610887561628272,0.0496520158399242,0.499120688407339,1,0.14360012779942014,0.03200506217239844,0.4901357817513541,1,0.24076364884975013,-0.01311013171105183,0.5036994989193301,1
154.034696,grid_0029_y490_z480,480.387,487.881,479.494,82.90452309132468,11.518,-0.09121958273512447,-0.0045724257589884005,0.5081451774197042,1,-0.006696313155115481,0.03433901067812222,0.48554320577466664,1,0.07079307247742823,0.04869694488687221,0.4951395675459073,1,0.15223442327114492,0.03157009925297744,0.5004007238616456,1,0.23905336835218768,-0.013086303320881891,0.49843119923290935,1
157.279435,grid_0030_y505_z480,481.001,502.508,479.437,82.360492015286,2.183,-0.07250686154936062,-0.0038920299927832085,0.49630068361295754,1,0.005165930692218429,0.034907266296990036,0.495052028091654,1,0.07705101844627642,0.046597866796338934,0.48446826217338496,1,0.1525607945935281,0.030166610530620183,0.48673553847444206,1,0.23343357517984994,-0.013119716042139185,0.48508706381748756,1
160.17642,grid_0031_y520_z480,481.029,517.584,479.75,84.07191761819156,1.786,-0.05568999342375816,-0.004402249844176344,0.49309692131766764,1,0.018397052108220954,0.033270808913570704,0.48896722522580954,1,0.08781228695176475,0.046301425475658076,0.49332470922371585,1,0.15878585523111907,0.02966597064801997,0.49093472491063395,1,0.23693647556390074,-0.013150208135974763,0.49059256223351816,1
165.15331,grid_0032_y535_z480,481.004,532.463,479.088,89.1793020268716,3.886,-0.03922404479402361,-0.003090427871131935,0.4915330272374168,1,0.03186466772445384,0.03342742357989081,0.4871807856546077,1,0.09685578222914788,0.045931003719232644,0.4932745998668196,1,0.16360360513797137,0.028857404365274716,0.487960918568962,1,0.23784747538126863,-0.013727793386564208,0.48949337332470555,1
